随机数预言机配置加载失败，使用默认值	Oracle config load failed, using defaults
BSC 测试网	BSC Testnet
⏳ 太早了：还需等待若干区块	Too early: wait for blocks
⌛ 太晚了：commit 已过期	Too late: commit expired
🔐 secret/salt 与 commit 不匹配	Secret/salt mismatch
✅ 已经揭示过了	Already revealed
❌ 不是本人 commit	Not your commit
❌ 不是本人的英雄/武器，或 pending 已被清理	Not your hero/weapon, or pending cleaned
🚫 英雄数量已达上限(4)	Hero limit reached (4)
🔝 该武器强化已达上限	Weapon enhancement maxed
🧪 该星级武器不可使用此阶精粹	Essence tier not usable here
⏰ 不在 BOSS 攻击窗口期内	Outside boss attack window
💀 BOSS 已被击败	Boss defeated
⏳ 待处理操作过多，请先揭示或等待清理	Too many pending ops, reveal or wait
⏳ BOSS 轮次尚未结束	Boss round not ended
✅ 本轮的奖励已结算过了	Round rewards settled
⚡ 英雄体力不足	Not enough stamina
⏳ BOSS 新一轮需等待 7 天冷却	New round needs 7-day cooldown
💰 余额或授权不足	Insufficient balance or allowance
🔧 ABI 不匹配，请 Ctrl+F5	ABI mismatch, hard refresh
Gas 余额不足	Insufficient gas
Nonce 冲突，请刷新	Nonce conflict, refresh
未配置 	Not configured 
🗡️ 飞剑	Sword
冲击	Impact
🌪️ 旋风斩	Whirlwind
✨ 星光弹	Star bolt
👹 魔焰	Hellfire
🦷 尖牙撕咬	Fang bite
💀 骨刺	Bone spike
🌋 熔岩弹	Lava bolt
开轮 / 奖池 / 攻击待处理配置	Round / pool / pending attack config
BOSS 轮次	Boss Round
当前轮次	Current Round
BOSS 血量	Boss HP
进度	Progress
奖池	Prize Pool
总伤害	Total Damage
武器得主	Weapon Winner
本轮我的可领	My claim this round
开启新一轮	Start New Round
注入奖池	Top up pool
确认开启新一轮世界BOSS？	Start a new World Boss round?
开启新一轮 BOSS	Start New Boss Round
BOSS 血量 HP（1000~10000000）	Boss HP (1000~10000000)
开启 BOSS 轮次	Start Boss Round
注入 BOSS 奖池	Top up Boss Pool
注入数量	Amount
如 5000	e.g. 5000
清理过期攻击	Clean Expired Attacks
设置 BOSS 关联合约	Set Boss Linked Contracts
RandomOracle 地址	RandomOracle Address
Vault 地址	Vault Address
PriceOracle 地址	PriceOracle Address
设置 BOSS 关联	Set Boss Links
攻击待处理配置	Pending Attack Config
过期块数	Expiry Blocks
每人上限	Max Per Player
修改过期块数	Edit Expiry Blocks
修改每人上限	Edit Max Per Player
奖池管理	Pool Management
清理全部过期攻击	Clean All Expired Attacks
英雄召唤成功	Hero summoned
合成完成	Composed
合成成功	Composed
请先勾选武器	Select weapons first
熔炼中…	Smelting…
熔炼完成	Smelted
合成中…	Composing…
锻造	Forge
锻造厂	Forge Shop
强化铺	Enhance Shop
市场	Market
手续费 / 挂单过期 / 关联设置	Fees / expiry / links
市场状态	Market Status
手续费率	Fee Rate
挂单过期时间	Order Expiry
挂单总数	Total Orders
在售挂单	Active Orders
分成金库	Fee Vault
设置手续费	Set Fee
设置挂单过期	Set Expiry
关联设置	Link Settings
设置金库	Set Vault
设置 NFT 合约	Set NFT Contracts
设置市场手续费	Set Market Fee
手续费基点（0~1000，100=1%）	Fee basis points (0~1000, 100=1%)
设置挂单过期时间	Set Order Expiry
过期天数（默认 7）	Expiry days (default 7)
设置市场 NFT 合约	Set Market NFT Contracts
Characters 地址	Characters Address
Weapons 地址	Weapons Address
Shards 地址	Shards Address
Essence 地址	Essence Address
USDT 模式	USDT mode
领取中…	Claiming…
领取成功	Claimed
胜	W
负	L
金库	Vault
资金托管 / 奖励模式 / 授权游戏 / 存入	Custody / reward mode / games / deposit
金库状态	Vault Status
奖励代币	Reward Token
奖励模式	Reward Mode
USDT 地址	USDT Address
清理间隔	Cleanup Interval
金库余额	Vault Balance
待发放总额(EH)	Pending (EH)
待发放总额(USDT)	Pending (USDT)
累计发放(EH)	Paid (EH)
累计发放(USDT)	Paid (USDT)
授权游戏数	Authorized Games
我的待领取	My Claimable
设置奖励代币	Set Reward Token
切换奖励模式	Switch Reward Mode
紧急切换模式	Emergency Switch
设置清理间隔	Set Cleanup Interval
授权游戏（负责发放奖励）	Authorize Game (pays rewards)
添加/移除授权	Add/Remove Authorization
存入资金	Deposit Funds
存入 EH	Deposit EH
存入 USDT	Deposit USDT
应急管理	Emergency
清理玩家待领取	Clean Player Claims
暂停控制	Pause Control
设置金库奖励代币（仅一次）	Set Vault Reward Token (once)
代币合约地址（GameToken）	Token Contract (GameToken)
切换金库奖励模式	Switch Vault Reward Mode
EH 代币模式	EH Token Mode
USDT 合约地址（模式=1 时必填）	USDT Address (required in mode 1)
USDT 模式需填写 USDT 合约地址	USDT address required in USDT mode
紧急切换模式会跳过“待发放资金需先转换”的检查，确定继续？	Emergency switch skips the convert-pending check. Continue?
